zipcode,lat,lng,state,city,avg2019,avg2020
10025,40.798601,-73.966622,NY,New York,1086892.9166666667,1051246.5
60657,41.940293,-87.646857,IL,Chicago,486745.25,489779.0
10023,40.775921,-73.982607,NY,New York,1419981.6666666667,1471571.0
77494,29.740677,-95.829652,TX,Katy,339397.6666666667,343459.5
60614,41.922714,-87.649577,IL,Chicago,631084.1666666666,628772.75
77449,29.837572,-95.733754,TX,Katy,187889.08333333334,197463.08333333334
10002,40.715775,-73.986212,NY,New York,1007626.8333333334,1021829.1666666666
77084,29.827486,-95.65992,TX,Houston,185806.33333333334,195207.0
79936,31.776593,-106.296976,TX,El Paso,133595.75,139638.75
60640,41.972872,-87.662604,IL,Chicago,305530.75,312814.8333333333
11226,40.646448,-73.956649,NY,New York,824127.0833333334,792418.0833333334
10467,40.869953,-73.865746,NY,New York,422745.0833333333,443244.5833333333
78660,30.43963,-97.594687,TX,Pflugerville,272197.6666666667,292015.9166666667
94109,37.795388,-122.422453,CA,San Francisco,1163874.4166666667,1172208.75
10016,40.745224,-73.978297,NY,New York,1065474.4166666667,1011956.0833333334
37013,36.052231,-86.632515,TN,Nashville,234830.33333333334,249332.91666666666
32162,28.914383,-81.98956,FL,The Villages,280930.5,292108.9166666667
60647,41.921215,-87.701028,IL,Chicago,457308.75,472763.0
11201,40.693682,-73.989693,NY,New York,1344989.8333333333,1366793.0
11235,40.583949,-73.949096,NY,New York,612674.5,611137.9166666666
11375,40.720934,-73.846151,NY,New York,862910.1666666666,855674.9166666666
90250,33.914775,-118.348083,CA,Hawthorne,661107.1666666666,704661.0
78130,29.693556,-98.07285,TX,New Braunfels,240645.91666666666,249283.33333333334
37211,36.067234,-86.723711,TN,Nashville,272424.4166666667,287637.0833333333
10029,40.791763,-73.94397,NY,New York,674546.1666666666,538451.25
10009,40.726399,-73.978631,NY,New York,1077732.9166666667,1043555.25
77573,29.503785,-95.0873,TX,League City,279261.1666666667,284407.6666666667
60618,41.946962,-87.702548,IL,Chicago,473510.0833333333,479869.0
77584,29.545041,-95.350629,TX,Pearland,275788.75,276759.1666666667
10011,40.742039,-74.00062,NY,New York,1950306.0,1764491.25
20002,38.905026,-76.983607,DC,Washington,700001.8333333334,718190.0833333334
10128,40.781432,-73.950013,NY,New York,1135661.9166666667,1101728.6666666667
28269,35.337313,-80.803472,NC,Charlotte,224356.58333333334,241214.75
78613,30.503949,-97.8242,TX,Cedar Park,332310.8333333333,348064.1666666667
77433,29.934371,-95.747578,TX,Cypress,286052.8333333333,295019.6666666667
78572,26.229223,-98.37545,TX,Mission,120173.75,127986.08333333333
30349,33.622488,-84.523908,GA,Riverdale,158587.58333333334,171082.33333333334
79912,31.848583,-106.534316,TX,El Paso,193292.75,201223.83333333334
75052,32.664953,-97.024692,TX,Grand Prairie,226935.5,238318.83333333334
94565,38.014576,-121.906255,CA,Pittsburg,574467.0,589136.1666666666
37042,36.568751,-87.416322,TN,Clarksville,157415.25,171719.33333333334
11206,40.701954,-73.942358,NY,New York,937618.5833333334,926271.75
73099,35.527369,-97.78251,OK,Yukon,176357.91666666666,184533.75
90046,34.10781,-118.362247,CA,Los Angeles,1412233.3333333333,1469602.25
20009,38.919144,-77.037381,DC,Washington,633999.9166666666,642753.5
77429,29.998421,-95.66736,TX,Cypress,261091.91666666666,268971.5
78245,29.401093,-98.730806,TX,San Antonio,192502.33333333334,199890.25
77479,29.566996,-95.636016,TX,Sugar Land,379647.4166666667,382509.5833333333
10462,40.84328,-73.860389,NY,New York,182651.66666666666,200797.5
10456,40.829881,-73.90812,NY,New York,385695.4166666667,414232.5833333333
60613,41.956949,-87.654272,IL,Chicago,343376.25,345766.5
30044,33.922046,-84.065671,GA,Lawrenceville,215398.0,230323.58333333334
10019,40.765823,-73.987169,NY,New York,1334295.3333333333,1269778.1666666667
63376,38.798916,-90.606645,MO,Saint Peters,210968.83333333334,222159.91666666666
10003,40.731829,-73.989181,NY,New York,1422822.75,1248821.4166666667
28277,35.052875,-80.817552,NC,Charlotte,356014.6666666667,375200.25
60625,41.973292,-87.700351,IL,Chicago,380245.75,390479.5833333333
30043,33.999276,-84.009512,GA,Lawrenceville,252886.41666666666,266508.25
11230,40.622164,-73.965105,NY,New York,1050826.4166666667,1020055.75
11212,40.662936,-73.913029,NY,New York,475167.25,497809.25
77036,29.701847,-95.534537,TX,Houston,133536.66666666666,140331.66666666666
10463,40.880678,-73.90654,NY,New York,420939.8333333333,452945.5
60629,41.775868,-87.711496,IL,Chicago,204348.66666666666,212667.33333333334
11209,40.621982,-74.030324,NY,New York,966694.9166666666,930978.5833333334
30096,33.974292,-84.145426,GA,Duluth,248409.91666666666,262259.4166666667
11221,40.69134,-73.927879,NY,New York,1104036.1666666667,1113525.1666666667
7030,40.745268,-74.032021,NJ,Hoboken,716956.75,708891.4166666666
98052,47.68099,-122.120531,WA,Redmond,848432.9166666666,911661.0
30024,34.062971,-84.09077,GA,Suwanee,373392.0833333333,384050.9166666667
60610,41.906772,-87.632231,IL,Chicago,434546.8333333333,434492.75
78704,30.243032,-97.765081,TX,Austin,619242.1666666666,670654.25
77077,29.750233,-95.615383,TX,Houston,311874.1666666667,310518.5
85032,33.62592,-112.002503,AZ,Phoenix,267518.3333333333,298032.0
77379,30.040876,-95.528914,TX,Spring,262088.08333333334,269630.9166666667
75287,32.999309,-96.841688,TX,Dallas,333342.5,341537.5833333333
10024,40.798452,-73.974428,NY,New York,1697530.6666666667,1605688.4166666667
